Name,Handle,Category,Followers,Content Strengths,Description,Tier,Avg Engagement (Likes / Replies / Views),Audience & Vibe,Notes + Engagement Drivers
Dexter Agent,@dexteraiagent,AI + CRYPTO / AGENTS,782,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy",Automated,C,~8 likes / 0 replies / 0K views,"Solana devs + builder crowd — AI-native, agent-first energy",Reply-heavy account — conversation driver
ise411,@1seOluwa,BUILDER-IN-PUBLIC,776,💬 short tweets,"@iylmibs Full stack developer, Web designer, Shopify Specialist",C,~4 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
VIBE AI,@VIBEaiRforce,AI + CRYPTO / AGENTS,695,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",VIBE AI Build Your AI Dream Team CA: 0x8e7A9f9817eCf2649c0316b22Fea274D522C7b9B,B,~16 likes / 4 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""Tokenize your $VIBE AI agent                                ..."""
The Geek Circle,@thegeekcircleX,DEV ADVOCATES / ECOSYSTEM,588,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement","We re a Developer-first company, spotlighting Techies and Afro Open-Source projects shaping",B,~23 likes / 0 replies / 0K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. Reply-heavy account — conversation driver
Dhruv,@_dhrooov,MARKETING / BUILDER,490,"😂 memes/shitposts, 📝 long-form",Scaling my solo MVP agency to 7 figures ($100k/year):,C,~4 likes / 2 replies / 0K views,"Solana devs + builder crowd — growth-focused, strategic","Top post: ""If you're not using affiliate programs for your SaaS, you're..."""
PeerB,@PeerBuksh13,BUILDER-IN-PUBLIC,348,"📹 videos/media, 📝 long-form",Scaled 15+ SaaS sites from zero to 1M+ traffic/mo (3M/mo) (For sale),C,~5 likes / 2 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Growing my SaaS to $1M valuation  🟩🟩🟩🟩🟩🟧⬜⬜⬜⬜ 51.1%  Halfway ..."""
Samuel Damilare,@damdev_,BUILDER-IN-PUBLIC,345,"📹 videos/media, 📝 long-form",Web & mobile developer Code lover Building great user experiences,C,~5 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""Day 11 building ShowFlx 🚀  Added ads for free users today.  ..."""
Nokhez Usama,@NokhezUsama,BUILDER-IN-PUBLIC,321,💬 reply-heavy,"Founder of Mindme, behavioral neuropsychologist, researcher and sometimes an artist",C,~1 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver. Low engagement — early/casual account
Danny Hogan,@dannyhogancodes,BUILDER-IN-PUBLIC,244,💬,building stuff i think is cool,C,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Trashard,@MaysTrashard,BUILDER-IN-PUBLIC,240,"📸 images, 📝 long-form",Engineer turned app dev. Jesus is the way. Artist & philosopher in,C,~5 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
rishav.js,@Yrishavjs,MARKETING / BUILDER,241,"📸 images, 😂 memes/shitposts, 📝 long-form",19 yrs. dev! Too bored to write a banger bio,C,~7 likes / 2 replies / 0K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text
Min Choi,@minchoi,BUILDER-IN-PUBLIC,358K,💬,"Building with AI. Sharing what's wild, what's practical, and what's next.",B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Riley Brown,@rileybrown,AI + CRYPTO / AGENTS,160K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",vibecode.dev,A,~293 likes / 31 replies / 34K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
Charly Wargnier,@DataChaz,AI + CRYPTO / AGENTS,156K,"🧵 threads, 📹 videos/media, 😂 memes/shitposts",Clawdbot / @openclaw tinkerer Ex @Streamlit @Snowflake Maestro Also tweet about AI,A,~805 likes / 27 replies / 50K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
Yuchen Jin,@Yuchenj_UW,MARKETING / BUILDER,91K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Hyperbolic,A,~1278 likes / 49 replies / 84K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice. Meme/relatable posts outperform
Allie K. Miller,@alliekmiller,AI + CRYPTO / AGENTS,85K,"📝 long-form, ⭐ high-engagement","#1 Most Followed Voice in AI Business (2M followers). Former Amazon, IBM.",A,~170 likes / 26 replies / 39K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
AshutoshShrivastava,@ai_for_success,MARKETING / BUILDER,78K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Post about latest AI news, tools, tutorials and memes.",A,~209 likes / 17 replies / 16K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Aiden Bai,@aidenybai,MARKETING / BUILDER,63K,"📹 videos/media, 😂 memes/shitposts, 💬 reply-heavy",building @amidotdev +,A,~764 likes / 32 replies / 89K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Marusha,@maruushae,MARKETING / BUILDER,62K,"📹 videos/media, ⭐ high-engagement",PLZ ENJOY GAME Building unified margin system at @extendedapp Supporting brother at,A,~100 likes / 7 replies / 6K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
matt palmer,@mattyp,DEV ADVOCATES / ECOSYSTEM,41K,"📹 videos/media, ⭐ high-engagement",Replit ⠕,A,~131 likes / 16 replies / 11K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. High engagement — established voice
Tech with Mak,@techNmak,BUILDER-IN-PUBLIC,31K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","AI, coding, software, and whatever s on my mind.",A,~1322 likes / 29 replies / 109K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Jason Zhou,@jasonzhou1993,MARKETING / BUILDER,30K,"🧵 threads, 📹 videos/media, 📝 long-form",Building @SuperDesignDev | Learn to build with AI at @aibuilderclub_,A,~70 likes / 4 replies / 8K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
The Startup Ideas Podcast,@startupideaspod,BUILDER-IN-PUBLIC,27K,"📸 images, 😂 memes/shitposts, 📝 long-form",Get startup ideas and practical tutorials on AI tools will make you,A,~295 likes / 13 replies / 31K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
sankalp,@dejavucoder,BUILDER-IN-PUBLIC,24K,"📹 videos/media, ⭐ high-engagement",LLMs and shitposting into crafting ai product and evals dm open to,A,~287 likes / 8 replies / 12K views,Indian developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Melvyn  Builder,@melvynxdev,BUILDER-IN-PUBLIC,22K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","developer and independent - talking about AI, Code and SaaS.",A,~141 likes / 12 replies / 20K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
marisa,@meshtimes_,EMERGING BUILDER,14K,"📸 images, 📝 long-form, ⭐ high-engagement","telling stories with design, code, and internet experiments meshtimes on ig, tiktok,",A,~108 likes / 6 replies / 3K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
Sad Aitmbarek,@SaidAitmbarek,AI + CRYPTO / AGENTS,13K,"📝 long-form, 💬 reply-heavy","bootstrapped founder building internet companies - - launch, get reviews & first",B,~6 likes / 2 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. Reply-heavy account — conversation driver
Julio Csar Fernndez,@jcfmunoz,BUILDER-IN-PUBLIC,11K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","IA & Developer Evangelist. Swift & @codevapor instructor @acodingacademy. Podcaster @apple_coding, @",A,~45 likes / 5 replies / 4K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Maya is launching new.website,@mayakyler,BUILDER-IN-PUBLIC,7K,💬,Building (@getwaitlist) (@newdotwebsite) buildinpublic,B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Lamar,@LamarDealMaker,BUILDER-IN-PUBLIC,6K,"📸 images, 😂 memes/shitposts, 💬 reply-heavy","Talent is made, not born. 12 schools and counting. Co-founder, Texas Sports",B,~13 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Deepak Mehta,@mehtasdeepak,MARKETING / BUILDER,4K,"😂 memes/shitposts, 💬 reply-heavy","Learning investing , Long #PATH #IREN #SOFi #ZETA",B,~2 likes / 0 replies / 0K views,"developer community + builder crowd — growth-focused, strategic",Reply-heavy account — conversation driver. Low engagement — early/casual account
George Bevis,@GeorgeBevis,AI + CRYPTO / AGENTS,2K,"😂 memes/shitposts, 📝 long-form, 💬 reply-heavy",CEO @BuildWithScram (,B,~0 likes / 0 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy",Reply-heavy account — conversation driver. Low engagement — early/casual account
Surendar,@Surendar__05,BUILDER-IN-PUBLIC,2K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Building in Stealth | Software Engineer @ MNC | Freelancer | Gym,B,~89 likes / 25 replies / 5K views,Indian developer community + builder crowd — build-in-public hustle,High engagement — established voice
Steffen Holm,@honeyimholm,BUILDER-IN-PUBLIC,1K,💬,co-founder @JARS_AI Interactive AI Worlds founder fellow @southpkcommons,C,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Cole McIntosh,@colesmcintosh,BUILDER-IN-PUBLIC,896,💬 reply-heavy,Building @staymellowai,C,~3 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver
Irregular,@Irregular,AI + CRYPTO / AGENTS,849,"📸 images, 😂 memes/shitposts, 📝 long-form",Frontier AI Security,B,~10 likes / 0 replies / 1K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. Reply-heavy account — conversation driver
mert,@mert,BUILDER-IN-PUBLIC,323K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Helius,A,~1096 likes / 85 replies / 60K views,Solana devs + builder crowd — build-in-public hustle,High engagement — established voice
Aerodrome,@AerodromeFi,ECOSYSTEM / COMMUNITY,126K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",The central trading and liquidity marketplace on @Base.,A,~120 likes / 6 replies / 7K views,Base devs + builder crowd — ecosystem-native,High engagement — established voice
Vitto Rivabella,@VittoStack,AI + CRYPTO / AGENTS,124K,"📝 long-form, ⭐ high-engagement",AI at @ethereumfndn | Ex @Cyfrin and @Alchemy | Created @cyfrinupdraft and,A,~91 likes / 13 replies / 9K views,"Ethereum devs + builder crowd — AI-native, agent-first energy",High engagement — established voice
Alchemy,@Alchemy,BUILDER-IN-PUBLIC,106K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",The complete onchain developer platform for the world s open economy. Build,A,~30 likes / 8 replies / 2K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
SolanaNews.sol,@solananew,MARKETING / BUILDER,77K,"📹 videos/media, ⭐ high-engagement","Daily Cryptocurrency Updates, Research, Solana Bullposting, And Education @defidevcorp @pudgypenguin",A,~182 likes / 20 replies / 9K views,"Solana devs + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
ashen,@ashen_one,VIBECODER / BUILDER-IN-PUBLIC,52K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Arcium ☂️,A,~92 likes / 33 replies / 9K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Prajwal Tomar,@PrajwalTomar_,MARKETING / BUILDER,51K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",I build MVPs for founders in 21 days at @ignytlabs and teach,A,~157 likes / 59 replies / 20K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
cami,@camiinthisthang,MARKETING / BUILDER,40K,"😂 memes/shitposts, 📝 long-form, ⭐ high-engagement",fomo,A,~20 likes / 6 replies / 1K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text
Paul Copplestone - e/postgres,@kiwicopple,BUILDER-IN-PUBLIC,37K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",ceo @supabase | YC S20,A,~81 likes / 7 replies / 20K views,Base devs + builder crowd — build-in-public hustle,Reply-heavy account — conversation driver. High engagement — established voice
JNS,@_devJNS,VIBECODER / BUILDER-IN-PUBLIC,34K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",software engineer building and learning,A,~3093 likes / 36 replies / 57K views,developer community + builder crowd — casual vibe coder,Media posts outperform text. High engagement — established voice
Pontus Abrahamsson  oss/acc,@pontusab,BUILDER-IN-PUBLIC,30K,"📹 videos/media, 😂 memes/shitposts, ⭐ high-engagement",Building an open source platform for business owners to be on top,A,~55 likes / 5 replies / 5K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
leo,@leojrr,VIBECODER / BUILDER-IN-PUBLIC,21K,"📹 videos/media, ⭐ high-engagement",Anything,A,~92 likes / 15 replies / 7K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Kevin Kern,@kevinkern,BUILDER-IN-PUBLIC,20K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Building AI apps, still human in the loop.",A,~137 likes / 8 replies / 12K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Tyler Shukert,@dshukertjr,DEV ADVOCATES / ECOSYSTEM,19K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",DevRel engineer @supabase Follow for Supabase tips!,A,~106 likes / 10 replies / 9K views,Base devs + builder crowd — professional DevRel energy,Media posts outperform text. High engagement — established voice
Paarug Sethi,@paarugsethi,EMERGING BUILDER,10K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",swiss army knife jiu jitsu nerd celebrating @SuperteamIN network school v1,A,~282 likes / 11 replies / 17K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
Superteam Talent,@SuperteamTalent,DEV ADVOCATES / ECOSYSTEM,8K,"📸 images, 📝 long-form, 💬 reply-heavy",Superteam,A,~79 likes / 9 replies / 5K views,Solana devs + builder crowd — professional DevRel energy,Reply-heavy account — conversation driver. High engagement — established voice
Regy,@regyperlera,EMERGING BUILDER,6K,"📹 videos/media, 📝 long-form",Design @airbnb by day @juliennecooking by night Previously @snap @nike @square,B,~3 likes / 2 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
clank.fun,@clankfun,ECOSYSTEM / COMMUNITY,6K,"📹 videos/media, 💬 reply-heavy",Vibe trade & launch tokens on @base | | 0x1d008f50fb828ef9debbbeae1b71fffe929bf317 |,B,~3 likes / 0 replies / 0K views,Base devs + builder crowd — ecosystem-native,Media posts outperform text
Chain,@achxvi,AI + CRYPTO / AGENTS,5K,📝 long-form,Founder | CEO @pocketsflow,B,~9 likes / 4 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""Welcome to Moltflow  $MOLTFLOW will dominate the agents x pa..."""
Blockfuse Labs,@blockfuselabs,BUILDER-IN-PUBLIC,1K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Empowering Innovation Through Blockchain Mastery. Trainings and building blockchain products. TG:,B,~11 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
Metacamp,@MetacampDAO,ECOSYSTEM / COMMUNITY,1K,💬,Nurturing web3 talents and innovation,C,No recent posts,developer community + builder crowd — ecosystem-native,Low activity — limited data
Jatin Katariya | $P2P,@JatinWeb3,DEV ADVOCATES / ECOSYSTEM,500,"🧵 threads, 📹 videos/media, 😂 memes/shitposts",Content writer | Web3 Enthusiast | Maxi - @CoinDCX | Ambassador @stellar_ind,C,~8 likes / 1 replies / 0K views,L2 devs + builder crowd — professional DevRel energy,Media posts outperform text
Alexander Zuev,@zlxndr,AI + CRYPTO / AGENTS,491,📹 videos/media,Founder @ Spawnbase | Build AI agents to run everything |,C,~3 likes / 0 replies / 0K views,"Base devs + builder crowd — AI-native, agent-first energy",Media posts outperform text
Peter Yang,@petergyang,BUILDER-IN-PUBLIC,176K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",I share extremely practical AI tutorials and interviews | Join 140K+ readers,A,~424 likes / 35 replies / 67K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
Marc Khlbrugge,@marckohlbrugge,EMERGING BUILDER,78K,"📹 videos/media, ⭐ high-engagement",#,A,~119 likes / 12 replies / 25K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice
Rajesh Kumar,@therjrajesh,MARKETING / BUILDER,43K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",Marketing & Growth Strategist | AI-Driven Brand Scaling | Open to Partnerships,B,~9 likes / 4 replies / 3K views,"developer community + builder crowd — growth-focused, strategic","Top post: ""Most indie hackers don’t fail because of product. They fail ..."""
Pierre de Wulf,@PierreDeWulf,MARKETING / BUILDER,37K,"📹 videos/media, 📝 long-form, 💬 reply-heavy",Bootstrapped @ScrapingBee to $5m ARR+ with a team of 6. Exited for,A,~509 likes / 98 replies / 166K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
Pop Punk,@PopPunkOnChain,BUILDER-IN-PUBLIC,31K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",PUMPCADE,A,~231 likes / 13 replies / 9K views,developer community + builder crowd — build-in-public hustle,High engagement — established voice
James Ivings,@JamesIvings,ECOSYSTEM / COMMUNITY,27K,"📝 long-form, 💬 reply-heavy","Digital Nomad for 8+ years, bootstrapping products around the world! Easily unsubscribe",B,~4 likes / 0 replies / 0K views,developer community + builder crowd — ecosystem-native,Reply-heavy account — conversation driver
Olly,@helloitsolly,MARKETING / BUILDER,25K,"📹 videos/media, 💬 reply-heavy, ⭐ high-engagement","Bootstrapping in public. Currently $1,000,000ARR",A,~25 likes / 6 replies / 3K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. Reply-heavy account — conversation driver
Anthony Castrio,@AnthonyCastrio,BUILDER-IN-PUBLIC,23K,"📹 videos/media, 😂 memes/shitposts, 💬 reply-heavy","Building the ""get me a job"" button, CTO @",B,~6 likes / 0 replies / 0K views,developer community + builder crowd — build-in-public hustle,"Top post: ""@thomson_xyz @NikoMcCarty On the other hand, if you make the..."""
Chris Park,@chrisparkX,ECOSYSTEM / COMMUNITY,22K,"💬 reply-heavy, ⭐ high-engagement",X,A,~154 likes / 18 replies / 14K views,developer community + builder crowd — ecosystem-native,Reply-heavy account — conversation driver. High engagement — established voice
Thomas Sanlis,@T_Zahil,BUILDER-IN-PUBLIC,20K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",-- Apply to Uneed Residency: -- Entrepreneur / Cyclist Launch. Get seen.,A,~46 likes / 20 replies / 4K views,developer community + builder crowd — build-in-public hustle,"Top post: ""I found the perfect place for the upcoming Uneed Residency. ..."""
jia,@jia_seed,BUILDER-IN-PUBLIC,19K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","22, in SF | co-founder @wespreadjam jiachiachen@gmail.com NO COIN drop infra swe",A,~102 likes / 18 replies / 8K views,developer community + hackathon crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Avalanche Team1,@AvaxTeam1,DEV ADVOCATES / ECOSYSTEM,17K,"📹 videos/media, 📝 long-form, ⭐ high-engagement","A global network of builders, developers, creatives, gamers and community members who",A,~75 likes / 14 replies / 3K views,developer community + builder crowd — professional DevRel energy,Media posts outperform text. High engagement — established voice
Alexander Belogubov,@AlexBelogubov,AI + CRYPTO / AGENTS,13K,"📝 long-form, ⭐ high-engagement",Building Human replies that sell Grow your revenue with referrals Built 38+,A,~32 likes / 8 replies / 2K views,"Solana devs + builder crowd — AI-native, agent-first energy","Top post: ""I was skeptical about running AI agents 24/7 but @OpenClaw c..."""
Andi,@andi_losing,BUILDER-IN-PUBLIC,8K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",quit my job to go all in as indie hacker ($1.5k) ($0),A,~1122 likes / 55 replies / 29K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Emanuele Di Pietro,@emanueledpt,MARKETING / BUILDER,6K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Just an italian guy following his dreams Road to $10k/mo | iOS,A,~81 likes / 27 replies / 5K views,"developer community + builder crowd — growth-focused, strategic",High engagement — established voice
CS Crafts,@CS2Crafts,EMERGING BUILDER,4K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form",The ultimate Sticker Craft Database: || Tag us on crafts,B,~14 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
zecod,@realzecod,AI + CRYPTO / AGENTS,2K,"📸 images, 😂 memes/shitposts, 📝 long-form",Building @neospeechio |,B,~7 likes / 2 replies / 0K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""Day 0 of OneClickClaw.  I'm my own first customer.  My AI ag..."""
FreeSolDev,@FreeSolGamesDev,ECOSYSTEM / COMMUNITY,2K,"📹 videos/media, ⭐ high-engagement",Core Contributor @proofnetworks | Contributor @icmdotrun,B,~18 likes / 2 replies / 0K views,developer community + builder crowd — ecosystem-native,"Top post: ""@shawmakesmagic wtf are you building that needs that much cr..."""
ShipLock,@ShipLockio,EMERGING BUILDER,930,"📸 images, 📝 long-form","An on-chain accountability layer for teams: bonded milestones, community validation, and automated",B,~12 likes / 4 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
Mobile Mastermind,@d3Mastermind,BUILDER-IN-PUBLIC,607,💬,Building Mobile App Solutions || HNGi12 Finalist || On a journey to,C,No recent posts,Solana devs + builder crowd — build-in-public hustle,Low activity — limited data
MobileMage,@MobileMage_,BUILDER-IN-PUBLIC,499,"📸 images, 📝 long-form, 💬 reply-heavy",Mobile Developer. I turn ideas into apps. @reactnative all the way,C,~9 likes / 2 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text
PerkOS  EthDenver,@perk_os,AI + CRYPTO / AGENTS,461,"🧵 threads, 📸 images, 😂 memes/shitposts",Spark ignites. Stack powers. From idea to scale. No-code launcher x402 payments,B,~19 likes / 3 replies / 4K views,"developer community + builder crowd — AI-native, agent-first energy","Top post: ""🚨 IMPORTANT: Fake tokens alert.  Several copycat tokens have..."""
Tibo,@tibo_maker,MARKETING / BUILDER,181K,"📹 videos/media, 😂 memes/shitposts, 📝 long-form","Built Tweet Hunter, Taplio (sold $8m) Growing - - - - Sharing",A,~111 likes / 47 replies / 10K views,"Solana devs + builder crowd — growth-focused, strategic",High engagement — established voice
Tony Dinh,@tdinh_me,EMERGING BUILDER,178K,"💬 short tweets, ⭐ high-engagement",Creating software I love to use. $137K/m $5K/m $518/m $50/m,A,~171 likes / 56 replies / 20K views,"developer community + builder crowd — early-stage, learning-in-public",High engagement — established voice
Starter Story,@starter_story,EMERGING BUILDER,64K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",Sharing business ideas that make money!,A,~354 likes / 27 replies / 28K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text. High engagement — established voice
Luca Restagno  blacktwist.app,@ikoichi,BUILDER-IN-PUBLIC,38K,"📹 videos/media, 📝 long-form",Indie hacker. ($2k/m) ($3k/m sold) ($1k/m sold) ($1k/m sold),B,~6 likes / 4 replies / 0K views,Solana devs + builder crowd — build-in-public hustle,"Top post: ""Coding is no longer a problem.  I've added 2 new modules to ..."""
Luke Sophinos,@lukesophinos,BUILDER-IN-PUBLIC,36K,"💬 reply-heavy, ⭐ high-engagement","Building Vertical AI, Vertical Software, & AI Roll Ups. Founder, CEO, Investor,",A,~22 likes / 1 replies / 4K views,developer community + builder crowd — build-in-public hustle,"Top post: ""https://t.co/9b2o20DSEF..."""
jameson,@jamesonhaslam,BUILDER-IN-PUBLIC,28K,"📹 videos/media, ⭐ high-engagement",your favorite pro s favorite pro i went to @stanford then worked,A,~115 likes / 9 replies / 11K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. High engagement — established voice
Steph Mui,@stephmui,BUILDER-IN-PUBLIC,24K,💬,on a mission to create more founders/angels as founder of @getpinxyz and,B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Aditya,@AdityaShips,MARKETING / BUILDER,16K,"📹 videos/media, ⭐ high-engagement",Building (mobile app design) & (thumbnail maker),A,~241 likes / 56 replies / 11K views,"developer community + builder crowd — growth-focused, strategic",Media posts outperform text. High engagement — established voice
Manoj Ahirwar,@manoj_ahi,VIBECODER / BUILDER-IN-PUBLIC,12K,"📹 videos/media, ⭐ high-engagement",Building Products | 20 Countries ($200K) MVP in 15 Days | -,A,~71 likes / 33 replies / 6K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Manoj Ahirwar,@manoj_ahi,VIBECODER / BUILDER-IN-PUBLIC,12K,"📹 videos/media, ⭐ high-engagement",Building Products | 20 Countries ($200K) MVP in 15 Days | -,A,~71 likes / 33 replies / 6K views,developer community + builder crowd — casual vibe coder,High engagement — established voice
Baretto,@_baretto,BUILDER-IN-PUBLIC,11K,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement",Solo founder building @tiinyhost | $1M+ ARR | Member of @RamenClubHQ |,A,~113 likes / 24 replies / 11K views,Solana devs + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Baretto,@_baretto,BUILDER-IN-PUBLIC,11K,"😂 memes/shitposts, 💬 reply-heavy, ⭐ high-engagement",Solo founder building @tiinyhost | $1M+ ARR | Member of @RamenClubHQ |,A,~113 likes / 24 replies / 11K views,Solana devs + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Rob Hoffman,@RobHoffman_,BUILDER-IN-PUBLIC,10K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",CEO of 3 bootstrapped biz: $300K/m $20K/m $75K/m sharing learnings & telling,A,~26 likes / 11 replies / 1K views,Solana devs + builder crowd — build-in-public hustle,Media posts outperform text
Rob Hoffman,@RobHoffman_,BUILDER-IN-PUBLIC,10K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",CEO of 3 bootstrapped biz: $300K/m $20K/m $75K/m sharing learnings & telling,A,~26 likes / 11 replies / 1K views,Solana devs + builder crowd — build-in-public hustle,Media posts outperform text
Noah Tran,@_nghiatran,BUILDER-IN-PUBLIC,9K,"💬 reply-heavy, ⭐ high-engagement",Founder of @proxyman_app - Capture HTTP(s) in a few clicks Build apps,B,~6 likes / 1 replies / 0K views,developer community + builder crowd — build-in-public hustle,Media posts outperform text. Reply-heavy account — conversation driver
Noah Tran,@_nghiatran,BUILDER-IN-PUBLIC,9K,💬,Founder of @proxyman_app - Capture HTTP(s) in a few clicks Build apps,B,No recent posts,developer community + builder crowd — build-in-public hustle,Low activity — limited data
Philip Young,@philipyoungg,EMERGING BUILDER,9K,"📹 videos/media, 😂 memes/shitposts",Build @stayinsession a tool to help people stay focused and be more,B,~4 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
Philip Young,@philipyoungg,EMERGING BUILDER,9K,"📹 videos/media, 😂 memes/shitposts",Build @stayinsession a tool to help people stay focused and be more,B,~4 likes / 1 replies / 0K views,"developer community + builder crowd — early-stage, learning-in-public",Media posts outperform text
Eric Djavid,@ericdjav,AI + CRYPTO / AGENTS,8K,"📹 videos/media, 📝 long-form, ⭐ high-engagement",I ship and travel the world $98/m $567/m $150/m,A,~213 likes / 90 replies / 21K views,"developer community + builder crowd — AI-native, agent-first energy",Media posts outperform text. High engagement — established voice
